KM_Driven,Car_Age,Owner_Number,Latitude,Longitude,Fuel_Diesel,Fuel_Electric,Fuel_Petrol,Trans_Manual,Brand_Hyundai,Brand_Kia,Brand_MG,Brand_Mahindra,Brand_Maruti Suzuki,Brand_Mercedes-Benz,Brand_Other,Brand_Renault,Brand_Skoda,Brand_Tata,Brand_Toyota,Brand_Volkswagen
7000.0,3,1.0,22.5726459,88.3638953,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
50000.0,10,1.0,22.5044355,88.3721663,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
72000.0,5,1.0,22.4995309,88.3715953,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
40000.0,3,1.0,22.5856663,88.392521,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
60000.0,3,1.0,22.4726577,88.3977506,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
7520.0,3,1.0,22.5726,88.3639,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
39395.0,3,1.0,22.5153313,88.3477052,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11000.0,3,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
43625.0,12,1.0,22.5726,88.3639,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
66452.0,9,1.0,22.590425,88.41692,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52900.0,13,1.0,22.590425,88.41692,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94510.0,8,1.0,22.9822325,88.439166,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
58401.0,8,2.0,22.9822325,88.439166,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
54000.0,10,2.0,22.5153313,88.3477052,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51351.0,6,1.0,22.5726,88.3639,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3000.0,7,1.0,22.6530765,88.3805962,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
39159.0,4,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
28951.0,8,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
20000.0,4,1.0,22.598553,88.412018,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
40000.0,7,3.0,22.5726,88.3639,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
50000.0,4,1.0,22.5044355,88.3721663,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48000.0,4,1.0,22.5280337,88.3659084,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
5100.0,0,1.0,22.5325844,88.3454429,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
45046.0,13,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
42000.0,6,1.0,22.5280337,88.3659084,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
12000.0,3,1.0,22.540728,88.3827317,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
31386.0,5,1.0,22.5726,88.3639,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58558.0,10,2.0,22.5507265,88.4039735,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
